"id","zip_type","zip","zip_complement","short_name","long_name","state_id/unique_code","country_id/code"
7356,80,4127,60,"Birsfelden Zust","Birsfelden Zustellung","CH_BL","CH"
7358,80,4414,60,"Füllinsdorf Zust","Füllinsdorf Zustellung","CH_BL","CH"
7359,80,4563,60,"Gerlafingen Zust","Gerlafingen Zustellung","CH_SO","CH"
7369,80,5200,60,"Brugg AG 1 Zust","Brugg AG 1 Zustellung","CH_AG","CH"
7371,30,1274,0,"Signy-Centre","Signy-Centre","CH_VD","CH"
7374,20,9476,2,"Fontnas","Fontnas","CH_SG","CH"
7375,80,6000,31,"Luzern 31","Luzern 31","CH_LU","CH"
7376,40,6000,30,"Luzern 30 AAL","Luzern 30 AAL","CH_LU","CH"
7377,80,1211,90,"Genève 5 Dépôt","Genève 5 Dépôt","CH_GE","CH"
7378,10,5018,0,"Erlinsbach","Erlinsbach","CH_AG","CH"
7380,80,1806,70,"St-Légier Dist Fil","St-Légier Dist Fil","CH_VD","CH"
7386,80,2800,70,"Delémont Dist Ba","Delémont Dist Ba","CH_JU","CH"
7394,80,1310,70,"Daillens Dist Ba","Daillens Dist Ba","CH_VD","CH"
7395,80,1310,0,"Daillens Centre Co","Daillens Centre Colis","CH_VD","CH"
7402,80,1530,60,"Payerne Dist","Payerne Distribution","CH_VD","CH"
7403,80,1630,60,"Bulle 1 Dist","Bulle 1 Distribution","CH_FR","CH"
7404,80,3550,60,"Langnau i. E. Zust","Langnau i. E. Zustellung","CH_BE","CH"
7405,80,6460,60,"Altdorf UR 2 Zust","Altdorf UR 2 Zustellung","CH_UR","CH"
7406,80,7270,60,"Davos 1 Zust","Davos 1 Zustellung","CH_GR","CH"
7418,40,3000,94,"Bern 94","Bern 94 UBS","CH_BE","CH"
7419,40,8098,0,"Zürich","Zürich","CH_ZH","CH"
7420,20,1274,1,"Signy","Signy","CH_VD","CH"
7423,30,8066,0,"Zürich","Zürich","CH_ZH","CH"
7429,80,3400,70,"Burgdorf Dist Fil","Burgdorf Dist Fil","CH_BE","CH"
7431,80,4620,0,"Härkingen PZ","Härkingen Paketzentrum","CH_SO","CH"
7432,80,4620,70,"Härkingen Dist Ba","Härkingen Dist Ba","CH_SO","CH"
7433,80,8183,0,"Bülach Dist Ba","Bülach Dist Ba","CH_ZH","CH"
7434,80,8325,0,"Effretikon Dist Ba","Effretikon Dist Ba","CH_ZH","CH"
7435,80,8520,0,"Frauenfeld PZ","Frauenfeld Paketzentrum","CH_TG","CH"
7436,80,8520,70,"Frauenfeld Dist Ba","Frauenfeld Dist Ba","CH_TG","CH"
7437,80,8343,0,"Hinwil Dist Ba","Hinwil Dist Ba","CH_ZH","CH"
7439,80,9442,70,"Berneck Dist Ba","Berneck Dist Ba","CH_SG","CH"
7442,10,8564,0,"Hefenhausen","Hefenhausen","CH_TG","CH"
7443,20,8564,6,"Wagerswil","Wagerswil","CH_TG","CH"
7444,20,8586,10,"Buch b. Kümmertshs","Buch b. Kümmertshausen","CH_TG","CH"
7445,20,9565,2,"Oberbussnang","Oberbussnang","CH_TG","CH"
7446,20,2950,2,"Courtemautruy","Courtemautruy","CH_JU","CH"
7447,20,1347,1,"Le Solliat","Le Solliat","CH_VD","CH"
7449,20,1148,3,"Villars-Bozon","Villars-Bozon","CH_VD","CH"
