"id","zip_type","zip","zip_complement","short_name","long_name","state_id:id","country_id:id"
5941,20,4704,2,"Wolfisberg","Wolfisberg","res_country_state_ch_be","base.ch"
5942,20,6289,2,"Hämikon","Hämikon","res_country_state_ch_lu","base.ch"
5943,20,6277,2,"Lieli","Lieli LU","res_country_state_ch_lu","base.ch"
5944,20,6284,2,"Sulz LU","Sulz LU","res_country_state_ch_lu","base.ch"
5945,20,6038,2,"Honau","Honau","res_country_state_ch_lu","base.ch"
5946,20,8777,2,"Betschwanden","Betschwanden","res_country_state_ch_gl","base.ch"
5947,20,8774,0,"Leuggelbach","Leuggelbach","res_country_state_ch_gl","base.ch"
5948,20,3216,2,"Agriswil","Agriswil","res_country_state_ch_fr","base.ch"
5950,20,3215,2,"Büchslen","Büchslen","res_country_state_ch_fr","base.ch"
5951,20,3280,4,"Greng","Greng","res_country_state_ch_fr","base.ch"
5952,20,3213,2,"Kleinbösingen","Kleinbösingen","res_country_state_ch_fr","base.ch"
5953,20,3212,2,"Kleingurmels","Kleingurmels","res_country_state_ch_fr","base.ch"
5954,20,3215,3,"Lurtigen","Lurtigen","res_country_state_ch_fr","base.ch"
5955,20,3206,2,"Wallenbuch","Wallenbuch","res_country_state_ch_fr","base.ch"
5956,20,4583,2,"Aetigkofen","Aetigkofen","res_country_state_ch_so","base.ch"
5957,20,3254,2,"Balm b. Messen","Balm b. Messen","res_country_state_ch_so","base.ch"
5958,20,4584,3,"Gächliwil","Gächliwil","res_country_state_ch_so","base.ch"
5959,20,4556,2,"Bolken","Bolken","res_country_state_ch_so","base.ch"
5960,20,4556,3,"Burgäschi","Burgäschi","res_country_state_ch_so","base.ch"
5961,20,4566,2,"Halten","Halten","res_country_state_ch_so","base.ch"
5962,20,4558,2,"Heinrichswil","Heinrichswil","res_country_state_ch_so","base.ch"
5963,20,4554,2,"Hüniken","Hüniken","res_country_state_ch_so","base.ch"
5964,20,4566,3,"Oekingen","Oekingen","res_country_state_ch_so","base.ch"
5965,20,4556,4,"Steinhof SO","Steinhof SO","res_country_state_ch_so","base.ch"
5966,20,4558,3,"Winistorf","Winistorf","res_country_state_ch_so","base.ch"
5967,20,4535,2,"Kammersrohr","Kammersrohr","res_country_state_ch_so","base.ch"
