418	10	1213	03	Onex	Onex	GE
420	10	1214	00	Vernier	Vernier	GE
421	20	1215	00	Genève	Genève 15 Aéroport	GE
422	30	1215	68	Genève 15 Dépôt	Genève 15 Aéroport Dépôt	GE
423	10	1216	00	Cointrin	Cointrin	GE
424	20	1217	00	Meyrin	Meyrin	GE
425	30	1217	01	Meyrin 1	Meyrin 1	GE
426	30	1217	02	Meyrin 2	Meyrin 2	GE
428	10	1218	00	Le Grand-Saconnex	Le Grand-Saconnex	GE
429	10	1219	00	Le Lignon	Le Lignon	GE
430	10	1219	10	Aïre	Aïre	GE
432	10	1219	12	Châtelaine	Châtelaine	GE
435	20	1220	00	Les Avanchets	Les Avanchets	GE
436	10	1222	00	Vésenaz	Vésenaz	GE
438	10	1223	00	Cologny	Cologny	GE
439	10	1224	00	Chêne-Bougeries	Chêne-Bougeries	GE
440	10	1225	00	Chêne-Bourg	Chêne-Bourg	GE
442	10	1226	00	Thônex	Thônex	GE
443	10	1227	00	Carouge GE	Carouge GE	GE
444	20	1227	04	Les Acacias	Les Acacias	GE
447	10	1228	00	Plan-les-Ouates	Plan-les-Ouates	GE
448	10	1231	00	Conches	Conches	GE
449	10	1232	00	Confignon	Confignon	GE
450	10	1233	00	Bernex	Bernex	GE
452	10	1234	00	Vessy	Vessy	GE
453	10	1236	00	Cartigny	Cartigny	GE
454	10	1237	00	Avully	Avully	GE
455	10	1239	00	Collex	Collex	GE
456	10	1241	00	Puplinge	Puplinge	GE
457	10	1242	00	Satigny	Satigny	GE
458	20	1243	00	Presinge	Presinge	GE
459	20	1244	00	Choulex	Choulex	GE
460	10	1245	00	Collonge-Bellerive	Collonge-Bellerive	GE
461	10	1246	00	Corsier GE	Corsier GE	GE
462	10	1247	00	Anières	Anières	GE
463	10	1248	00	Hermance	Hermance	GE
464	20	1251	00	Gy	Gy	GE
465	10	1252	00	Meinier	Meinier	GE
466	10	1253	00	Vandoeuvres	Vandoeuvres	GE
467	10	1254	00	Jussy	Jussy	GE
468	10	1255	00	Veyrier	Veyrier	GE
469	10	1256	00	Troinex	Troinex	GE
470	10	1257	00	La Croix-de-Rozon	La Croix-de-Rozon	GE
471	10	1258	00	Perly	Perly	GE
472	20	1260	00	Nyon	Nyon	VD
473	80	1260	60	Nyon 1 Dist	Nyon 1 Distribution	VD
478	10	1277	00	Borex	Borex	VD
479	20	1278	00	La Rippe	La Rippe	VD
480	10	1279	00	Chavannes-de-Bogis	Chavannes-de-Bogis	VD
482	20	1274	03	Grens	Grens	VD
483	20	1275	00	Chéserex	Chéserex	VD
484	10	1276	00	Gingins	Gingins	VD
485	10	1270	00	Trélex	Trélex	VD
486	20	1271	00	Givrins	Givrins	VD
487	10	1272	00	Genolier	Genolier	VD
488	20	1273	02	Le Muids	Le Muids	VD
489	10	1273	00	Arzier	Arzier	VD
490	20	1268	02	Burtigny	Burtigny	VD
491	10	1261	32	Marchissy	Marchissy	VD
492	10	1261	33	Le Vaud	Le Vaud	VD
493	20	1269	00	Bassins	Bassins	VD
494	20	1261	35	Longirod	Longirod	VD
495	10	1188	02	St-George	St-George	VD
496	20	1262	00	Eysins	Eysins	VD
497	20	1263	00	Crassier	Crassier	VD
498	10	1264	00	St-Cergue	St-Cergue	VD
500	20	1265	00	La Cure	La Cure	VD
501	10	1266	00	Duillier	Duillier	VD
503	30	1267	00	Vich-Coinsins	Vich-Coinsins	VD
504	10	1268	00	Begnins	Begnins	VD
506	20	1281	00	Russin	Russin	GE
507	20	1283	01	Dardagny	Dardagny	GE
508	10	1283	00	La Plaine	La Plaine	GE
509	20	1284	00	Chancy	Chancy	GE
510	10	1285	00	Athenaz (Avusy)	Athenaz (Avusy)	GE
511	20	1286	00	Soral	Soral	GE
512	20	1287	00	Laconnex	Laconnex	GE
513	10	1288	00	Aire-la-Ville	Aire-la-Ville	GE
515	10	1290	00	Versoix	Versoix	GE
516	20	1291	00	Commugny	Commugny	VD
517	10	1292	00	Chambésy	Chambésy	GE
518	10	1293	00	Bellevue	Bellevue	GE
519	10	1294	00	Genthod	Genthod	GE
521	30	1295	00	Mies-Tannay	Mies-Tannay	VD
522	10	1296	00	Coppet	Coppet	VD
523	10	1297	00	Founex	Founex	VD
524	20	1298	00	Céligny	Céligny	GE
525	10	1299	00	Crans-près-Céligny	Crans-près-Céligny	VD
526	10	1302	00	Vufflens-la-Ville	Vufflens-la-Ville	VD
528	10	1304	00	Cossonay-Ville	Cossonay-Ville	VD
529	20	1304	02	Dizy	Dizy	VD
530	20	1307	00	Lussery-Villars	Lussery-Villars	VD
531	10	1305	00	Penthalaz	Penthalaz	VD
532	10	1315	00	La Sarraz	La Sarraz	VD
533	20	1317	00	Orny	Orny	VD
534	20	1316	00	Chevilly	Chevilly	VD
535	10	1337	00	Vallorbe	Vallorbe	VD
538	10	1338	00	Ballaigues	Ballaigues	VD
540	10	1341	00	Orient	Orient	VD
541	10	1346	00	Les Bioux	Les Bioux	VD
542	20	1344	00	L'Abbaye	L'Abbaye	VD
543	10	1342	00	Le Pont	Le Pont	VD
544	20	1343	00	Les Charbonnières	Les Charbonnières	VD
545	10	1345	00	Le Lieu	Le Lieu	VD
546	10	1347	00	Le Sentier	Le Sentier	VD
550	10	1348	00	Le Brassus	Le Brassus	VD
553	10	1306	00	Daillens	Daillens	VD
554	10	1303	00	Penthaz	Penthaz	VD
555	20	1308	00	La Chaux-Cossonay	La Chaux (Cossonay)	VD
556	20	1148	04	Cuarnens	Cuarnens	VD
557	20	1313	00	Ferreyres	Ferreyres	VD
558	20	1148	08	Moiry VD	Moiry VD	VD
559	20	1321	00	Arnex-sur-Orbe	Arnex-sur-Orbe	VD
560	10	1318	00	Pompaples	Pompaples	VD
561	10	1312	00	Eclépens	Eclépens	VD
562	20	1329	00	Bretonnières	Bretonnières	VD
563	20	1322	00	Croy	Croy	VD
564	10	1323	00	Romainmôtier	Romainmôtier	VD
565	20	1324	00	Premier	Premier	VD
566	10	1325	00	Vaulion	Vaulion	VD
567	20	1326	00	Juriens	Juriens	VD
568	20	1148	06	La Praz	La Praz	VD
569	20	1148	05	Mont-la-Ville	Mont-la-Ville	VD
571	10	1350	00	Orbe	Orbe	VD
574	20	1352	00	Agiez	Agiez	VD
575	20	1353	00	Bofflens	Bofflens	VD
576	20	1354	00	Montcherand	Montcherand	VD
577	10	1355	00	L'Abergement	L'Abergement	VD
578	20	1356	00	Les Clées	Les Clées	VD
579	20	1357	00	Lignerolle	Lignerolle	VD
580	20	1358	00	Valeyres-Rances	Valeyres-sous-Rances	VD
581	20	1439	00	Rances	Rances	VD
583	10	1373	00	Chavornay	Chavornay	VD
587	20	1372	00	Bavois	Bavois	VD
588	20	1374	00	Corcelles-Chavorn	Corcelles-sur-Chavornay	VD
589	20	1375	00	Penthéréaz	Penthéréaz	VD
590	10	1376	00	Goumoens-la-Ville	Goumoens-la-Ville	VD
592	20	1400	00	Yverdon-les-Bains	Yverdon-les-Bains	VD
593	80	1400	01	Yverdon 1	Yverdon-les-Bains 1	VD
594	30	1400	02	Yverdon 2	Yverdon 2	VD
595	30	1401	00	Yverdon-les-Bains	Yverdon-les-Bains	VD
607	20	1417	00	Essertines-Yverdon	Essertines-sur-Yverdon	VD
608	20	1416	00	Pailly	Pailly	VD
609	10	1418	00	Vuarrens	Vuarrens	VD
610	20	1420	00	Fiez	Fiez	VD
611	20	1421	00	Fontaines-Grandson	Fontaines-sur-Grandson	VD
612	10	1423	00	Villars-Burquin	Villars-Burquin	VD
613	20	1453	02	Mauborget	Mauborget	VD
614	20	1429	00	Giez	Giez	VD
615	20	1430	00	Orges	Orges	VD
616	20	1431	00	Vugelles-La Mothe	Vugelles-La Mothe	VD
617	10	1405	00	Pomy	Pomy	VD
618	20	1406	00	Cronay	Cronay	VD
619	10	1407	00	Donneloye	Donneloye	VD
620	20	1408	00	Prahins	Prahins	VD
621	20	1409	00	Chanéaz	Chanéaz	VD
622	20	1412	00	Valeyres-Ursins	Valeyres-sous-Ursins	VD
623	20	1413	00	Orzens	Orzens	VD
624	20	1046	00	Rueyres	Rueyres	VD
625	20	1404	00	Cuarny	Cuarny	VD
626	20	1427	00	Bonvillars	Bonvillars	VD
627	10	1424	00	Champagne	Champagne	VD
629	20	1431	02	Novalles	Novalles	VD
630	20	1423	02	Fontanezier	Fontanezier	VD
632	20	1415	00	Molondin	Molondin	VD
633	20	1422	00	Grandson	Grandson	VD
634	30	1422	01	Grandson 1	Grandson 1	VD
635	30	1422	02	Grandson 2	Grandson 2	VD
636	10	1425	00	Onnens VD	Onnens VD	VD
637	10	1426	00	Concise	Concise	VD
638	20	1426	01	Corcelles-Concise	Corcelles-près-Concise	VD
643	20	1432	00	Belmont-Yverdon	Belmont-sur-Yverdon	VD
644	10	1433	00	Suchy	Suchy	VD
645	20	1434	00	Ependes VD	Ependes VD	VD
646	20	1435	00	Essert-Pittet	Essert-Pittet	VD
648	20	1436	00	Treycovagnes	Treycovagnes	VD
649	20	1437	00	Suscévaz	Suscévaz	VD
650	10	1438	00	Mathod	Mathod	VD
654	10	1441	00	Valeyres-Montagny	Valeyres-sous-Montagny	VD
655	20	1442	00	Montagny-Yverdon	Montagny-près-Yverdon	VD
656	20	1443	00	Champvent	Champvent	VD
658	10	1445	00	Vuiteboeuf	Vuiteboeuf	VD
659	10	1446	00	Baulmes	Baulmes	VD
660	10	1450	00	Ste-Croix	Ste-Croix	VD
663	20	1450	02	La Sagne VD	La Sagne (Ste-Croix)	VD
664	10	1454	00	L'Auberson	L'Auberson	VD
665	20	1452	00	Les Rasses	Les Rasses	VD
666	20	1453	00	Bullet	Bullet	VD
667	20	1450	03	Le Château-Croix	Le Château-de-Ste-Croix	VD
669	10	1462	00	Yvonand	Yvonand	VD
672	20	1463	00	Rovray	Rovray	VD
673	20	1464	00	Chavannes-le-Chêne	Chavannes-le-Chêne	VD
674	20	1464	02	Chêne-Pâquier	Chêne-Pâquier	VD
675	10	1468	00	Cheyres	Cheyres	FR
680	10	1470	00	Estavayer-le-Lac	Estavayer-le-Lac	FR
681	20	1473	00	Font	Font	FR
682	20	1474	00	Châbles FR	Châbles FR	FR
691	10	1483	00	Montet (Broye)	Montet (Broye)	FR
692	10	1482	00	Cugy FR	Cugy FR	FR
693	20	1541	00	Bussy FR	Bussy FR	FR
694	20	1484	00	Aumont	Aumont	FR
695	20	1485	00	Nuvilly	Nuvilly	FR
696	20	1486	00	Vuissens	Vuissens	FR
697	20	1537	00	Champtauroz	Champtauroz	VD
698	20	1538	00	Treytorrens-Payern	Treytorrens (Payerne)	VD
699	20	1489	00	Murist	Murist	FR
700	10	1510	00	Moudon	Moudon	VD
705	20	1512	00	Chavannes-s-Moudon	Chavannes-sur-Moudon	VD
706	20	1513	00	Hermenches	Hermenches	VD
707	20	1514	00	Bussy-sur-Moudon	Bussy-sur-Moudon	VD
708	20	1522	09	Oulens-sur-Lucens	Oulens-sur-Lucens	VD
709	20	1515	00	Villars-le-Comte	Villars-le-Comte	VD
710	20	1515	01	Neyruz-sur-Moudon	Neyruz-sur-Moudon	VD
711	20	1410	03	Denezy	Denezy	VD
712	10	1522	00	Lucens	Lucens	VD
713	20	1521	00	Curtilles	Curtilles	VD
715	10	1523	00	Granges-Marnand	Granges-près-Marnand	VD
716	20	1527	00	Villeneuve FR	Villeneuve FR	FR
717	20	1528	00	Surpierre	Surpierre	FR
718	20	1529	00	Cheiry	Cheiry	FR
720	10	1530	00	Payerne	Payerne	VD
726	20	1532	00	Fétigny	Fétigny	FR
727	20	1533	00	Ménières	Ménières	FR
728	20	1534	00	Sassel	Sassel	VD
729	10	1536	00	Combremont-Petit	Combremont-le-Petit	VD
730	20	1526	00	Forel-sur-Lucens	Forel-sur-Lucens	VD
731	20	1526	02	Cremin	Cremin	VD
732	20	1542	00	Rueyres-les-Prés	Rueyres-les-Prés	FR
733	10	1543	00	Grandcour	Grandcour	VD
734	10	1544	00	Gletterens	Gletterens	FR
735	20	1545	00	Chevroux	Chevroux	VD
736	20	1551	00	Vers-chez-Perrin	Vers-chez-Perrin	VD
737	20	1552	00	Trey	Trey	VD
738	10	1553	00	Châtonnaye	Châtonnaye	FR
739	20	1554	00	Sédeilles	Sédeilles	VD
740	20	1555	00	Villarzel	Villarzel	VD
741	20	1682	04	Villars-Bramard	Villars-Bramard	VD
742	20	1682	03	Dompierre VD	Dompierre VD	VD
743	20	1535	00	Combremont-Grand	Combremont-le-Grand	VD
744	10	1562	00	Corcelles-Payerne	Corcelles-près-Payerne	VD
745	20	1563	00	Dompierre FR	Dompierre FR	FR
746	10	1564	00	Domdidier	Domdidier	FR
751	20	1565	00	Missy	Missy	VD
752	20	1475	00	Autavaux	Autavaux	FR
753	20	1567	00	Delley	Delley	FR
754	10	1568	00	Portalban	Portalban	FR
755	10	1566	00	St-Aubin FR	St-Aubin FR	FR
757	10	1580	00	Avenches	Avenches	VD
758	20	1582	00	Donatyre	Donatyre	VD
759	20	1583	00	Villarepos	Villarepos	FR
763	20	1584	00	Villars-le-Grand	Villars-le-Grand	VD
764	10	1585	00	Salavaux	Salavaux	VD
765	20	1586	00	Vallamand	Vallamand	VD
766	20	1587	00	Montmagny	Montmagny	VD
767	20	1589	00	Chabrey	Chabrey	VD
768	20	1587	01	Constantine	Constantine	VD
770	10	1588	00	Cudrefin	Cudrefin	VD
772	10	1595	00	Faoug	Faoug	VD
778	10	1607	01	Palézieux-Village	Palézieux-Village	VD
779	20	1610	01	Châtillens	Châtillens	VD
780	20	1673	04	Ecublens FR	Ecublens FR	FR
781	20	1525	00	Henniez	Henniez	VD
782	20	1524	00	Marnand	Marnand	VD
783	10	1090	00	La Croix (Lutry)	La Croix (Lutry)	VD
784	10	1091	00	Grandvaux	Grandvaux	VD
785	20	1091	01	Aran	Aran	VD
786	10	1070	00	Puidoux	Puidoux	VD
788	10	1071	00	Chexbres	Chexbres	VD
789	10	1072	00	Forel (Lavaux)	Forel (Lavaux)	VD
790	10	1607	00	Palézieux	Palézieux	VD
791	20	1614	00	Granges (Veveyse)	Granges (Veveyse)	FR
792	10	1615	00	Bossonnens	Bossonnens	FR
793	10	1616	00	Attalens	Attalens	FR
794	10	1617	00	Remaufens	Remaufens	FR
795	10	1618	00	Châtel-St-Denis	Châtel-St-Denis	FR
797	20	1619	00	Les Paccots	Les Paccots	FR
798	10	1623	00	Semsales	Semsales	FR
800	20	1624	00	La Verrerie	La Verrerie	FR
801	10	1627	00	Vaulruz	Vaulruz	FR
802	10	1628	00	Vuadens	Vuadens	FR
803	20	1630	00	Bulle	Bulle	FR
807	20	1633	02	Vuippens	Vuippens	FR
808	10	1642	00	Sorens	Sorens	FR
809	20	1643	00	Gumefens	Gumefens	FR
810	10	1644	00	Avry-devant-Pont	Avry-devant-Pont	FR
811	20	1645	00	Le Bry	Le Bry	FR
812	20	1646	00	Echarlens	Echarlens	FR
813	20	1647	00	Corbières	Corbières	FR
814	20	1648	00	Hauteville	Hauteville	FR
816	20	1656	01	Im Fang	Im Fang	FR
817	10	1656	00	Jaun	Jaun	FR
818	20	1657	00	Abländschen	Abländschen	BE
819	20	1654	00	Cerniat FR	Cerniat FR	FR
820	20	1651	00	Villarvolard	Villarvolard	FR
821	20	1652	00	Botterens	Botterens	FR
822	20	1638	00	Morlon	Morlon	FR
823	20	1663	04	Moléson-s-Gruyères	Moléson-sur-Gruyères	FR
827	10	1632	00	Riaz	Riaz	FR
828	10	1633	00	Marsens	Marsens	FR
829	10	1634	00	La Roche FR	La Roche FR	FR
830	20	1649	00	Pont-la-Ville	Pont-la-Ville	FR
