"id","group","cb_number","branch_id","new_cb_number","sic_number","headquarters","cb_number_type","valid_from","sic_code","eurosic_code","language","short_name","long_name","home_address","postal_address","zip","location","phone","fax","telephone_code","country_code","postal_code","swift"
2322,"8","80683",0000,,806839,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Eiken","Schupfarterstrasse 7","Postfach 62","5074","Eiken","062 865 60 60","062 865 60 66",,,"50-6982-5","RAIFCH22683"
2323,"8","80683",0003,,806839,"80000","3",2011-08-11,"1","1","1","Raiffeisen","Raiffeisenbank Eiken",,,"4334","Sisseln AG","062 873 25 05","062 873 35 85",,,"*50-6982-5","RAIFCH22683"
2324,"8","80689",0000,,806894,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Mettauertal","Galterstr. 3",,"5272","Gansingen","062 867 20 70","062 867 20 79",,,"50-13193-2","RAIFCH22689"
2325,"8","80690",0000,,806903,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Wasserschloss","Unterriedenstr. 1",,"5412","Gebenstorf","056 202 33 33","056 202 33 34",,,"50-4158-4","RAIFCH22690"
2326,"8","80690",0001,,806903,"80000","3",2011-08-11,"1","1","1","Raiffeisen","Raiffeisenbank Wasserschloss",,,"5300","Turgi","056 202 33 73","056 202 33 74",,,"*50-4158-4","RAIFCH22690"
2327,"8","80690",0002,,806903,"80000","3",2011-08-11,"1","1","1","Raiffeisen","Raiffeisenbank Wasserschloss",,,"5210","Windisch","056 202 33 63","056 202 33 64",,,"*50-4158-4","RAIFCH22690"
2328,"8","80690",0003,,806903,"80000","3",2011-08-11,"1","1","1","Raiffeisen","Raiffeisenbank Wasserschloss","Bahnhofplatz 1",,"5200","Brugg","056 202 33 83","056 202 33 84",,,"*50-4158-4","RAIFCH22690"
2329,"8","80691",0000,,806919,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Regio Frick","Hauptstrasse 33","Postfach 57","5070","Frick","062 865 88 10","062 865 88 28",,,"50-2709-1","RAIFCH22691"
2330,"8","80691",0004,,806919,"80000","3",2011-08-11,"1","1","1","Raiffeisen","Raiffeisenbank Regio Frick","Oberzeiherstrasse 4",,"5079","Zeihen","062 865 88 10","062 865 88 28",,,"*50-2709-1","RAIFCH22691"
2331,"8","80691",0005,,806919,"80000","3",2011-08-11,"1","1","1","Raiffeisen","Raiffeisenbank Regio Frick","Dorfplatz",,"5063","Wölflinswil","062 865 88 10","062 865 88 28",,,"*50-2709-1","RAIFCH22691"
2332,"8","80691",0006,,806919,"80000","3",2011-08-11,"1","1","1","Raiffeisen","Raiffeisenbank Regio Frick","Hauptstrasse 37",,"5027","Herznach","062 865 88 10","062 865 88 28",,,"*50-2709-1","RAIFCH22691"
2333,"8","80691",0007,,806919,"80000","3",2011-08-11,"1","1","1","Raiffeisen","Raiffeisenbank Regio Frick","Landstrasse 40",,"5073","Gipf-Oberfrick","062 865 88 10","062 865 88 28",,,"*50-2709-1","RAIFCH22691"
2334,"8","80696",0000,,806966,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Regio Laufenburg","Mitteldorf 2",,"5082","Kaisten","062 869 80 20","062 869 80 21",,,"50-12428-3","RAIFCH22696"
2335,"8","80696",0001,,806966,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Regio Laufenburg","Hauptstrasse 89",,"5085","Sulz AG","062 867 21 21","062 867 21 20",,,"*50-12428-3","RAIFCH22696"
2336,"8","80698",0000,,806982,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Kölliken-Entfelden","Hauptstrasse 56",,"5742","Kölliken","062 737 07 37","062 737 07 57",,,"50-2947-4","RAIFCH22698"
2337,"8","80698",0002,,806982,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Kölliken-Entfelden",,,"4814","Bottenwil","062 737 07 37","062 721 70 15",,,"*50-2947-4","RAIFCH22698"
2338,"8","80698",0003,,806982,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Kölliken-Entfelden",,"Postfach 21","5036","Oberentfelden","062 737 07 37","062 737 46 56",,,"*50-2947-4","RAIFCH22698"
2339,"8","80698",0004,,806982,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Kölliken-Entfelden","Dorfchärn 1",,"5037","Muhen","062 737 07 37","062 724 83 85",,,"*50-2947-4","RAIFCH22698"
2340,"8","80698",0006,,806982,"80000","3",2011-10-20,"1","1","1","Raiffeisen","Raiffeisenbank Kölliken-Entfelden","Kasinostrasse 37",,"5000","Aarau","062 737 07 37","062 834 76 77",,,"*50-2947-4","RAIFCH22698"
2341,"8","80698",0007,,806982,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Kölliken-Entfelden","Bahnhofstrasse 41",,"5600","Lenzburg","062 737 07 37","062 886 02 21",,,"*50-2947-4","RAIFCH22698"
2342,"8","80700",0000,,807009,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Surbtal-Wehntal","Zürichstr. 5",,"5426","Lengnau AG","056 266 57 00","056 266 57 29",,,"50-4162-6","RAIFCH22700"
2343,"8","80700",0001,,807009,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Surbtal-Wehntal","Marktgasse 5",,"5304","Endingen","056 266 57 00","056 266 57 49",,,"*50-4162-6","RAIFCH22700"
2344,"8","80700",0002,,807009,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Surbtal-Wehntal",,"Postfach","5425","Schneisingen","056 266 57 00","056 266 57 79",,,"*50-4162-6","RAIFCH22700"
2345,"8","80700",0005,,807009,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Surbtal-Wehntal","Staltig 1",,"5306","Tegerfelden","056 266 57 00","056 266 57 39",,,"*50-4162-6","RAIFCH22700"
2346,"8","80700",0006,,807009,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Surbtal-Wehntal","Wehntalerstrasse 19",,"8165","Schöfflisdorf","056 266 57 00","056 266 57 89",,,"*50-4162-6","RAIFCH22700"
2347,"8","80701",0000,,807017,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Rhein","Schulweg 1","Postfach 45","5316","Leuggern","056 265 16 00","056 265 16 39",,,"50-4467-0","RAIFCH22701"
2348,"8","80701",0001,,807017,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Rhein",,,"5322","Koblenz","056 265 16 90","056 265 16 99",,,"*50-4467-0","RAIFCH22701"
2349,"8","80701",0002,,807017,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Rhein","Baslerstrasse 2A",,"5330","Bad Zurzach","056 265 16 40","056 265 16 69",,,"*50-4467-0","RAIFCH22701"
2350,"8","80701",0004,,807017,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Rhein","Leuggernstrasse 487",,"5325","Leibstadt","056 265 16 70","056 265 16 79",,,"*50-4467-0","RAIFCH22701"
2351,"8","80702",0000,,807025,"80000","2",2011-09-22,"1","1","1","Raiffeisen","Raiffeisenbank Kelleramt-Albis","Dorfzentrum","Postfach 75","8917","Oberlunkhofen","056 649 91 00","056 649 91 09",,,"50-1608-1","RAIFCH22702"
2352,"8","80702",0001,,807025,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Kelleramt-Albis",,,"8905","Arni AG","056 649 94 10","056 649 94 19",,,"*50-1608-1","RAIFCH22702"
2353,"8","80702",0002,,807025,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Kelleramt-Albis",,,"8916","Jonen","056 649 94 00","056 634 41 80",,,"*50-1608-1","RAIFCH22702"
2354,"8","80702",0003,,807025,"80000","3",2011-08-12,"1","1","1","Raiffeisen","Raiffeisenbank Kelleramt-Albis","Bahnhofplatz 5a",,"8910","Affoltern am Albis","044 762 40 40","044 762 40 49",,,"*50-1608-1","RAIFCH22702"
2355,"8","80704",0000,,807041,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Reuss","Bahnhofstrasse 8","Postfach 180","5507","Mellingen","056 481 99 99","056 481 99 98",,,"50-2675-8","RAIFCH22704"
2356,"8","80704",0004,,807041,"80000","3",2011-08-16,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Reuss",,,"5242","Lupfig","056 481 99 99","056 481 99 58",,,"*50-2675-8","RAIFCH22704"
2357,"8","80704",0005,,807041,"80000","3",2011-08-16,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Reuss",,"Postfach","5608","Stetten AG","056 481 99 99","056 481 99 48",,,"*50-2675-8","RAIFCH22704"
2358,"8","80704",0006,,807041,"80000","3",2011-08-16,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Reuss","Oberdorfstrasse 8",,"5107","Schinznach Dorf","056 481 99 99","056 481 99 68",,,"*50-2675-8","RAIFCH22704"
2359,"8","80704",0008,,807041,"80000","3",2011-08-16,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Reuss","Hegi 360",,"5112","Thalheim AG","056 481 99 99","056 481 99 78",,,"*50-2675-8","RAIFCH22704"
2360,"8","80704",0009,,807041,"80000","3",2011-08-16,"1","1","1","Raiffeisen","Raiffeisenbank Aare-Reuss","Bruggerstrasse 3",,"5103","Wildegg","056 481 99 99","056 481 99 04",,,"*50-2675-8","RAIFCH22704"
2361,"8","80705",0000,,807056,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Merenschwand-Obfelden","Rütistrasse 1","Postfach 67","5634","Merenschwand","056 675 40 60","056 675 40 70",,,"50-2269-9","RAIFCH22705"
2362,"8","80706",0000,,807064,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Möhlin","Bachstrasse 4","Postfach 240","4313","Möhlin","061 855 46 46","061 855 46 47",,,"40-10169-3","RAIFCH22706"
2363,"8","80706",0001,,807064,"80000","3",2011-08-13,"1","1","1","Raiffeisen","Raiffeisenbank Möhlin",,,"4322","Mumpf","062 873 38 00","062 873 38 55",,,"*40-10169-3","RAIFCH22706"
2364,"8","80706",0002,,807064,"80000","3",2011-08-13,"1","1","1","Raiffeisen","Raiffeisenbank Möhlin","Schiffstrasse 16",,"4323","Wallbach","061 861 15 65","061 861 13 51",,,"*40-10169-3","RAIFCH22706"
2365,"8","80706",0004,,807064,"80000","3",2011-08-13,"1","1","1","Raiffeisen","Raiffeisenbank Möhlin","Albrechtsplatz 1",,"4310","Rheinfelden","061 836 30 70","061 836 30 71",,,"*40-10169-3","RAIFCH22706"
2366,"8","80706",0005,,807064,"80000","3",2011-08-13,"1","1","1","Raiffeisen","Raiffeisenbank Möhlin","Dorfstrasse 33",,"4303","Kaiseraugst","061 815 90 90","061 815 90 91",,,"*40-10169-3","RAIFCH22706"
2367,"8","80716",0000,"80746",807169,"80000","2",2009-08-01,"1","1","1","Raiffeisen","Raiffeisenbank Obersiggenthal","Hertensteinstr. 16",,"5415","Nussbaumen AG","056 296 33 33","056 296 33 35",,,"50-3417-9","RAIFCH22XXX"
2368,"8","80719",0000,,807190,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Rohrdorferberg-Fislisbach","Bremgartenstrasse 20","Postfach 60","5443","Niederrohrdorf","056 483 53 53","056 483 53 55",,,"50-1084-4","RAIFCH22719"
2369,"8","80719",0004,,807190,"80000","3",2011-08-16,"1","1","1","Raiffeisen","Raiffeisenbank Rohrdorferberg-Fislisbach","Ringstrasse 25","Postfach 77","5452","Oberrohrdorf","056 483 53 53","056 483 53 56",,,"*50-1084-4","RAIFCH22719"
2370,"8","80719",0005,,807190,"80000","3",2011-08-16,"1","1","1","Raiffeisen","Raiffeisenbank Rohrdorferberg-Fislisbach",,"Postfach 31","5442","Fislisbach","056 483 53 53","056 483 53 54",,,"*50-1084-4","RAIFCH22719"
2371,"8","80721",0000,,807212,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Region Zofingen","Vordere Hauptgasse 51",,"4800","Zofingen","062 746 20 00","062 746 20 05",,,"50-5311-2","RAIFCH22721"
2372,"8","80721",0003,,807212,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Region Zofingen",,,"4803","Vordemwald","062 745 02 40","062 745 02 43",,,"*50-5311-2","RAIFCH22721"
2373,"8","80721",0004,,807212,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Region Zofingen",,,"4802","Strengelbach","062 746 00 80","062 746 00 81",,,"*50-5311-2","RAIFCH22721"
2374,"8","80721",0005,,807212,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Region Zofingen",,,"5745","Safenwil","062 789 10 00","062 789 10 01",,,"*50-5311-2","RAIFCH22721"
2375,"8","80721",0006,,807212,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Region Zofingen",,"Postfach 160","4665","Oftringen","062 789 50 50","062 789 50 55",,,"*50-5311-2","RAIFCH22721"
2376,"8","80723",0000,,807233,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Reitnau-Rued","Turnhallenstrasse 435",,"5044","Schlossrued","062 739 20 20","062 739 20 25",,,"50-9699-2","RAIFCH22723"
2377,"8","80723",0001,,807233,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Reitnau-Rued",,,"5046","Schmiedrued-Walde","062 738 60 60","062 738 60 69",,,"*50-9699-2","RAIFCH22723"
2378,"8","80723",0002,,807233,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Reitnau-Rued","Hauptstrasse 27",,"5726","Unterkulm","062 768 50 50","062 768 50 55",,,"*50-9699-2","RAIFCH22723"
2379,"8","80723",0003,,807233,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Reitnau-Rued","Weinhalden 244",,"5057","Reitnau","062 738 80 80","062 738 80 89",,,"*50-9699-2","RAIFCH22723"
2380,"8","80723",0004,,807233,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Reitnau-Rued","Dorfstrasse 4",,"5040","Schöftland","062 739 10 40","062 739 10 49",,,"*50-9699-2","RAIFCH22723"
2381,"8","80728",0000,,807281,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Oberfreiamt","Luzernerstrasse 14","Postfach 90","5643","Sins","041 789 60 30","041 789 60 36",,,"50-1914-7","RAIFCH22728"
2382,"8","80728",0002,,807281,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Oberfreiamt",,"Postfach 315","5630","Muri AG","056 675 86 00","056 675 86 01",,,"*50-1914-7","RAIFCH22728"
2383,"8","80728",0003,,807281,"80000","3",2011-08-17,"1","1","1","Raiffeisen","Raiffeisenbank Oberfreiamt","Vorderdorfstrasse 2",,"6042","Dietwil","041 787 30 30","041 787 30 60",,,"*50-1914-7","RAIFCH22728"
2384,"8","80736",0000,,807361,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Villmergen","Dorfplatz 2",,"5612","Villmergen","056 618 77 11","056 618 77 37",,,"50-977-6","RAIFCH22736"
2385,"8","80736",0001,,807361,"80000","3",2011-08-18,"1","1","1","Raiffeisen","Raiffeisenbank Villmergen",,,"5605","Dottikon","056 616 90 80","056 616 90 87",,,"*50-977-6","RAIFCH22736"
2386,"8","80736",0002,,807361,"80000","3",2011-08-18,"1","1","1","Raiffeisen","Raiffeisenbank Villmergen",,,"5607","Hägglingen","056 616 90 90","056 616 90 97",,,"*50-977-6","RAIFCH22736"
2387,"8","80736",0003,,807361,"80000","3",2011-08-18,"1","1","1","Raiffeisen","Raiffeisenbank Villmergen","Im Zentrum 1b",,"5614","Sarmenstorf","056 667 20 08","056 667 20 28",,,"*50-977-6","RAIFCH22736"
2388,"8","80736",0004,,807361,"80000","3",2011-08-18,"1","1","1","Raiffeisen","Raiffeisenbank Villmergen",,,"5606","Dintikon","056 624 11 78","056 624 41 09",,,"*50-977-6","RAIFCH22736"
2389,"8","80740",0000,,807400,"80000","2",2011-09-03,"1","1","1","Raiffeisen","Raiffeisenbank Lägern-Baregg","St. Bernhardstrasse 4","Postfach 2263","5430","Wettingen","056 437 47 47","056 437 47 77",,,"50-2572-8","RAIFCH22740"
2390,"8","80740",0001,,807400,"80000","3",2011-08-18,"1","1","1","Raiffeisen","Raiffeisenbank Lägern-Baregg","Stadtturmstrasse 5",,"5400","Baden","056 437 47 47","056 437 47 77",,,"*50-2572-8","RAIFCH22740"
2391,"8","80740",0002,,807400,"80000","3",2011-08-18,"1","1","1","Raiffeisen","Raiffeisenbank Lägern-Baregg",,"Postfach 64","5413","Birmenstorf AG","056 437 47 47","056 437 46 59",,,"*50-2572-8","RAIFCH22740"
